mlbam_id,nkey,name,age,PA,xwoba,avg_best_speed,avg_swing_speed,pts_pa,prospect_name,pipeline_rank,prospect_pos,prospect_age,prospect_level,prospect_org,milb_age,milb_level,milb_PA,milb_AVG,milb_OBP,milb_SLG,milb_OPS,milb_ISO,milb_K,milb_BB,milb_HR,milb_SB,milb_bat_z,level_age_score,milb_bat_score,career_AB,career_PA,rookie_eligible,pedigree,mlb_sample,PAS,prospect_status,BI,proj_pts_600,proj_rank_600,owner
806958,felnin celesten,Felnin Celesten,20.0,,,,,,Felnin Celesten,50.0,SS,20.0,ALL (2),sea,20.8,AA,134.0,0.17073170731707318,0.239,0.268,0.507,0.0975609756097561,0.3358208955223881,0.06716417910447761,3.0,7.0,-1.3620778828099145,0.85,0.2275844234380171,0.0,0.0,True,0.51,,52.3,top-100 prospect,,,,FA
800473,jefferson rojas,Jefferson Rojas,21.0,,,,,,Jefferson Rojas,76.0,SS,21.0,ALL (2),nym,21.2,AA,525.0,0.27213822894168466,0.338,0.495,0.833,0.2224622030237581,0.1676190476190476,0.08761904761904762,24.0,20.0,0.46411681783794967,0.8457500000000001,0.5928233635675899,0.0,0.0,True,0.25,,52.2,top-100 prospect,,,,FA
806039,drew burress,Drew Burress,21.0,,,,,,Drew Burress,41.0,OF,21.0,A,oak,21.6,A,137.0,0.2909090909090909,0.431,0.591,1.022,0.3,0.2773722627737226,0.1678832116788321,7.0,14.0,1.3783841052359942,0.16399999999999992,0.7756768210471989,0.0,0.0,True,0.6,,52.0,top-100 prospect,,,,FA
703492,nick morabito,Nick Morabito,23.1,39.0,0.315,99.20786,70.7,0.717948717948718,,,,,,,23.1,AAA,507.0,0.2541176470588235,0.355,0.388,0.743,0.13411764705882354,0.20907297830374755,0.11242603550295859,13.0,42.0,0.2679255494429722,1.0,0.5535851098885944,34.0,39.0,True,0.15,0.4968873797396718,51.5,rookie,,,,FA
699302,hector rodriguez,Héctor Rodríguez,22.3,132.0,0.249,98.518806591,74.6,0.8106060606060606,,,,,,,22.3,AAA,455.0,0.2740740740740741,0.347,0.533,0.88,0.25925925925925924,0.2043956043956044,0.09230769230769231,27.0,6.0,0.3738086369275914,1.0,0.5747617273855183,124.0,132.0,True,0.15,0.45953593661573294,51.5,rookie,3.6,553.0,278.0,FA
811965,joshua kurodagrauer,Joshua Kuroda-Grauer,23.4,62.0,0.327,99.397748889,68.3,1.1935483870967742,,,,,,,23.4,AAA,225.0,0.3465346534653465,0.4,0.455,0.855,0.10891089108910891,0.07111111111111111,0.07555555555555556,1.0,4.0,0.5126689812456584,0.9650000000000002,0.6025337962491317,60.0,62.0,True,0.15,0.45557441992076964,51.3,rookie,,,,Dpf
694876,cooper ingle,Cooper Ingle,24.3,24.0,,,,0.2916666666666667,,,,,,,24.3,AAA,473.0,0.29658792650918636,0.424,0.528,0.952,0.23097112860892388,0.22832980972515857,0.18181818181818182,20.0,2.0,0.988962061185207,0.8299999999999998,0.6977924122370414,21.0,24.0,True,0.15,,50.9,rookie,,,,FA
701649,james triantos,James Triantos,23.4,9.0,,,,0.5555555555555556,,,,,,,23.4,AAA,484.0,0.3,0.353,0.434,0.787,0.1340909090909091,0.11776859504132231,0.06818181818181818,9.0,27.0,0.297669022451148,0.9650000000000002,0.5595338044902296,8.0,9.0,True,0.15,,50.9,rookie,,,,FA
836582,luis hernandez,Luis Hernández,17.0,,,,,,Luis Hernández,27.0,SS,17.0,ALL (2),sf,,,,,,,,,,,,,,,,0.0,0.0,True,0.74,,50.9,top-100 prospect,,,,FA
816111,tate southisene,Tate Southisene,19.0,,,,,,Tate Southisene,60.0,SS,19.0,ALL (3),atl,19.7,A+,177.0,0.25517241379310346,0.379,0.428,0.807,0.1724137931034483,0.23728813559322035,0.15819209039548024,4.0,9.0,0.39623056590436967,0.552,0.5792461131808739,0.0,0.0,True,0.41000000000000003,,50.1,top-100 prospect,,,,FA
804109,aiva arquette,Aiva Arquette,22.0,,,,,,Aiva Arquette,63.0,SS,22.0,ALL (2),mia,22.7,AA,228.0,0.2714285714285714,0.325,0.443,0.768,0.17142857142857143,0.19736842105263158,0.06140350877192982,10.0,16.0,0.08712074879638539,0.6545,0.5174241497592771,0.0,0.0,True,0.38,,50.1,top-100 prospect,,,,FA
701339,marek houston,Marek Houston,22.0,,,,,,Marek Houston,74.0,SS,22.0,ALL (2),min,22.2,AA,286.0,0.30120481927710846,0.379,0.45,0.829,0.14859437751004015,0.2062937062937063,0.10139860139860139,7.0,26.0,0.5333474115556213,0.71825,0.6066694823111243,0.0,0.0,True,0.27,,50.1,top-100 prospect,,,,FA
696135,kahlil watson,Kahlil Watson,23.2,91.0,0.246,98.054020357,73.0,1.0879120879120878,,,,,,,23.2,AAA,442.0,0.24661246612466126,0.361,0.455,0.816,0.2086720867208672,0.2669683257918552,0.1334841628959276,19.0,24.0,0.36372029141376244,0.9950000000000001,0.5727440582827525,88.0,91.0,True,0.15,0.36898698358800225,50.0,rookie,,,,FA
806071,jonny farmelo,Jonny Farmelo,22.0,,,,,,Jonny Farmelo,73.0,OF,22.0,ALL (2),sea,21.8,AA,214.0,0.2215909090909091,0.355,0.358,0.713,0.13636363636363635,0.2803738317757009,0.16355140186915887,4.0,15.0,0.19229254793120584,0.7692499999999998,0.5384585095862412,0.0,0.0,True,0.28,,50.0,top-100 prospect,,,,FA
828599,lucas spence,Lucas Spence,23.4,41.0,0.236,101.240806364,73.1,0.5609756097560976,,,,,,,23.4,AAA,214.0,0.21348314606741572,0.332,0.416,0.748,0.20224719101123595,0.2616822429906542,0.14485981308411214,8.0,7.0,0.08087683219569979,0.9650000000000002,0.51617536643914,37.0,41.0,True,0.15,0.5178268251273345,50.0,rookie,,,,FA
691002,yohandy morales,Yohandy Morales,24.7,35.0,0.321,103.760799167,73.3,1.3428571428571427,,,,,,,24.7,AAA,455.0,0.28641975308641976,0.363,0.519,0.882,0.23209876543209876,0.24395604395604395,0.0945054945054945,25.0,6.0,0.19939968255113877,0.77,0.5398799365102278,35.0,35.0,True,0.15,0.7917374080362195,49.9,rookie,,,,GK
800614,bryce rainer,Bryce Rainer,21.0,,,,,,Bryce Rainer,48.0,SS,21.0,ALL (2),det,21.0,A+,429.0,0.27071823204419887,0.38,0.483,0.863,0.212707182320442,0.351981351981352,0.14685314685314685,18.0,13.0,0.02548710285805749,0.435,0.5050974205716114,0.0,0.0,True,0.53,,49.6,top-100 prospect,,,,FA
