mlbam_id,name,p,bi_rank,breakout_next,next_pts
608348,Carson Kelly,0.7010889413921074,227,0,411.0
624424,Michael Conforto,0.69655449909038,228,0,283.0
545341,Randal Grichuk,0.6941761694526539,229,0,274.0
624413,Pete Alonso,0.6905246496230529,230,0,710.0
669743,Alex Call,0.6852416537064466,231,0,161.0
606192,Teoscar Hernández,0.6804022150304669,232,0,441.0
669236,Jeremiah Jackson,0.6701705682673501,233,0,219.0
663624,Ryan Mountcastle,0.6591996067641188,234,0,11.0
645277,Ozzie Albies,0.6508879206491613,235,0,575.0
514888,Jose Altuve,0.6397758155851323,236,0,467.0
664761,Alec Bohm,0.6384478670007105,237,0,508.0
602104,Ramón Urías,0.6311970838611175,238,0,72.0
691016,Tyler Soderstrom,0.6287353320180465,239,0,471.0
650968,Yohel Pozo,0.6077252614811138,240,0,45.0
681624,Andy Pages,0.5947490922718038,241,0,623.0
666018,Jonathan Aranda,0.5849349490008703,242,0,604.0
671218,Heliot Ramos,0.5790975994973935,243,0,362.0
693304,Nick Gonzales,0.5653074590432271,244,0,543.0
656811,Ryan O'Hearn,0.5650115515515424,245,0,429.0
669289,Santiago Espinal,0.5591580304030994,246,0,48.0
688363,Graham Pauley,0.5573643069330748,247,0,128.0
608324,Alex Bregman,0.5210291172903749,248,0,669.0
543877,Christian Vázquez,0.5040975289333037,249,0,226.0
805300,Jakob Marsee,0.4975524104797748,250,0,536.0
680777,Ryan Jeffers,0.49173465153849805,251,0,377.0
641487,J.P. Crawford,0.48738840835360014,252,0,348.0
650859,Luis Rengifo,0.4862330511010488,253,0,296.0
664702,Myles Straw,0.4736901864772522,254,0,272.0
660162,Yoán Moncada,0.46485619162538955,255,0,91.0
595978,Austin Hedges,0.46306848386445876,256,0,197.0
668901,Mark Vientos,0.46300621781988716,257,0,232.0
681807,David Fry,0.4602743501691565,258,0,143.0
696285,Jacob Young,0.458274216875353,259,0,449.0
608701,Rob Refsnyder,0.4560615420712447,260,0,78.0
606115,Orlando Arcia,0.4534484780636768,261,0,40.0
643446,Jeff McNeil,0.44135033915425476,262,0,431.0
592663,J.T. Realmuto,0.43766389898995167,263,0,384.0
668715,Spencer Steer,0.4351364910168676,264,0,368.0
669364,Xavier Edwards,0.42542276651977573,265,0,557.0
518595,Travis d'Arnaud,0.4253269408409566,266,0,60.0
666185,Dylan Carlson,0.42488110383469496,267,0,1.0
663886,Tyler Stephenson,0.4237958663461053,268,0,428.0
605141,Mookie Betts,0.4228538423226174,269,0,454.0
686527,Dominic Canzone,0.41221161238213444,270,0,496.0
664023,Ian Happ,0.40019127130761467,271,0,576.0
808975,Hyeseong Kim,0.4000498400553083,272,0,118.0
643217,Andrew Benintendi,0.39694081905905326,273,0,427.0
592885,Christian Yelich,0.39302998751944085,274,0,455.0
676609,José Caballero,0.3929934983642113,275,0,437.0
663853,Romy Gonzalez,0.3917832048067285,276,0,56.0
666397,Edouard Julien,0.3790234424536471,277,0,225.0
663743,Nick Fortes,0.3734445454269738,278,0,272.0
669911,Michael Toglia,0.37268932787709685,279,0,12.0
681715,Heriberto Hernández,0.37185590556549286,280,0,465.0
670623,Isaac Paredes,0.37014872682537114,281,0,575.0
663330,Jahmai Jones,0.36031625615995544,282,0,142.0
670242,Matt Wallner,0.3440873417803314,283,0,97.0
680757,Steven Kwan,0.34357286102628887,284,0,528.0
605170,Victor Caratini,0.3416906862252152,285,0,297.0
677588,José Tena,0.34120697830570174,286,0,252.0
668942,Josh Rojas,0.3289248049768021,287,0,84.0
502671,Paul Goldschmidt,0.3248607814310837,288,0,360.0
686555,Isaac Collins,0.3218659390629479,289,0,420.0
665750,Leody Taveras,0.3170739595053204,290,0,414.0
701762,Nick Kurtz,0.31639509607719757,291,0,491.0
657136,Connor Wong,0.31202893487652467,292,0,205.0
596019,Francisco Lindor,0.30979794636387814,293,0,390.0
647304,Josh Naylor,0.30538602049062846,294,0,571.0
621493,Taylor Ward,0.3019765621467946,295,0,488.0
680574,Matt McLain,0.3010038719560688,296,0,406.0
669720,Austin Hays,0.30023666399242616,297,0,80.0
664059,Sam Haggerty,0.2919302602309651,298,0,30.0
669016,Brandon Marsh,0.2895376919454185,299,0,526.0
516782,Starling Marte,0.2885272097687513,300,0,145.0
665926,Andrés Giménez,0.2803231914186127,301,0,441.0
592626,Joc Pederson,0.2779983022708873,302,0,438.0
670764,Taylor Walls,0.2778300138451835,303,0,364.0
624585,Jorge Soler,0.264091638417352,304,0,310.0
643376,Danny Jansen,0.2580743799698885,305,0,153.0
660688,Keibert Ruiz,0.25452515011294646,306,0,378.0
676391,Ernie Clement,0.24064921342351067,307,0,493.0
553869,Elias Díaz,0.2403436468329463,308,0,205.0
650490,Yandy Díaz,0.24010824558718089,309,0,670.0
681393,Connor Norby,0.2396471652559792,310,0,299.0
673490,Ha-Seong Kim,0.23716788538194353,311,0,61.0
661388,William Contreras,0.23588175213016066,312,0,643.0
624431,Jose Trevino,0.23550325883933926,313,0,118.0
