"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
"Johnson, Pierce",572955,ATL,FF,4-Seam Fastball,0.4,1,222,24.2,47,0.194,0.25,0.313,26.6,29.8,17.7,0.199,0.246,0.312,31.8
"Law, Derek",571882,WSH,FF,4-Seam Fastball,0.2,0,185,13.5,47,0.256,0.419,0.309,18.6,23.4,15.1,0.246,0.419,0.308,45.5
"Houser, Adrian",605288,NYM,SL,Slider,-2.2,-4,196,17.3,47,0.286,0.571,0.382,21.3,8.5,8.7,0.324,0.641,0.427,43.6
"Assad, Javier",665871,CHC,ST,Sweeper,-0.5,-1,228,9.0,47,0.174,0.37,0.237,34.1,27.7,13.4,0.179,0.383,0.248,30.3
"Barlow, Scott",605130,CLE,FF,4-Seam Fastball,-1.0,-2,214,20.9,46,0.325,0.5,0.401,17.2,10.9,13.9,0.346,0.468,0.397,54.3
"Gonzales, Marco",594835,PIT,FF,4-Seam Fastball,-1.5,-3,175,32.1,46,0.35,0.5,0.406,13.6,13.0,10.3,0.322,0.685,0.456,57.1
"Hudson, Bryan",663542,MIL,FC,Cutter,-0.2,0,227,24.5,46,0.209,0.512,0.31,18.0,13.0,15.8,0.263,0.537,0.351,44.7
"Aguiar, Julian",687924,CIN,FF,4-Seam Fastball,-1.6,-3,190,35.8,46,0.256,0.59,0.425,17.2,21.7,14.5,0.249,0.592,0.405,44.8
"Kelly, Joe",523260,LAD,SI,Sinker,1.1,2,162,29.3,46,0.27,0.27,0.333,9.5,8.7,16.7,0.255,0.288,0.333,30.3
"Keller, Mitch",656605,PIT,CU,Curveball,-0.1,0,274,9.6,46,0.233,0.442,0.311,29.3,17.4,17.0,0.289,0.44,0.34,34.3
"Estes, Joey",683155,ATH,CH,Changeup,-3.1,-7,222,11.0,46,0.357,0.738,0.5,20.8,13.0,16.7,0.34,0.654,0.445,44.4
"Black, Mason",696131,SF,ST,Sweeper,-2.9,-5,168,25.3,46,0.318,0.591,0.399,16.0,13.0,8.8,0.287,0.535,0.367,31.6
"Lange, Alex",656638,DET,SL,Slider,0.1,0,218,57.8,46,0.195,0.293,0.283,43.3,30.4,18.7,0.243,0.295,0.29,44.4
"Winn, Keaton",676775,SF,SI,Sinker,-3.8,-6,163,19.2,46,0.41,0.692,0.497,6.6,6.5,13.6,0.381,0.627,0.476,52.8
"Bivens, Spencer",702352,SF,ST,Sweeper,1.0,2,183,23.8,46,0.205,0.341,0.238,32.6,30.4,23.7,0.159,0.303,0.208,32.3
"Harris, Hogan",663687,ATH,CU,Curveball,-0.2,0,190,15.7,46,0.244,0.311,0.253,33.8,41.3,26.8,0.202,0.274,0.219,34.6
"Booser, Cam",592155,BOS,FC,Cutter,0.5,1,246,35.4,46,0.325,0.45,0.385,31.8,15.2,30.4,0.225,0.349,0.306,36.4
"Medina, Luis",665622,ATH,SL,Slider,-0.7,-1,181,25.1,46,0.262,0.357,0.308,30.8,26.1,20.0,0.196,0.324,0.264,33.3
"Henry, Tommy",674072,AZ,CU,Curveball,-2.7,-5,168,23.8,46,0.268,0.561,0.405,12.3,26.1,20.7,0.269,0.474,0.36,37.9
"Mize, Casey",663554,DET,SI,Sinker,-0.1,0,150,8.4,46,0.318,0.364,0.367,7.7,2.2,4.2,0.32,0.376,0.33,39.5
"Darvish, Yu",506433,SD,ST,Sweeper,1.6,3,176,14.0,46,0.214,0.333,0.276,26.1,26.1,20.3,0.191,0.306,0.254,23.3
"Zerpa, Angel",672582,KC,SL,Slider,0.8,2,248,26.1,46,0.214,0.333,0.261,21.2,15.2,9.3,0.255,0.431,0.323,30.6
"Leasure, Jordan",673929,CWS,SL,Slider,-5.8,-9,161,28.7,46,0.419,0.744,0.508,28.0,21.7,20.8,0.31,0.493,0.368,45.5
"Wentz, Joey",666214,PIT,CH,Changeup,-1.3,-3,234,19.1,46,0.279,0.419,0.327,40.4,30.4,21.9,0.207,0.303,0.255,27.6
"Bradish, Kyle",680694,BAL,SL,Slider,1.1,2,201,29.8,46,0.171,0.244,0.271,33.7,32.6,21.4,0.171,0.218,0.245,23.1
"Blanco, Ronel",669854,HOU,CU,Curveball,2.2,6,258,9.4,45,0.071,0.071,0.107,37.6,33.3,22.7,0.144,0.186,0.184,22.2
"Glasnow, Tyler",607192,LAD,SI,Sinker,-0.1,0,171,8.5,45,0.233,0.395,0.355,15.8,17.8,17.4,0.263,0.427,0.319,40.0
"Crouse, Hans",668968,LAA,SL,Slider,-1.2,-2,170,38.9,45,0.19,0.405,0.285,45.1,42.2,28.8,0.153,0.392,0.258,39.1
"Anderson, Chase",502624,TEX,ST,Sweeper,0.2,0,154,15.2,45,0.186,0.326,0.223,25.3,20.0,15.3,0.197,0.323,0.237,22.9
"Ragans, Cole",666142,KC,CU,Curveball,1.0,3,323,10.4,45,0.14,0.256,0.191,35.2,44.4,22.5,0.169,0.312,0.231,39.1
"Leiter, Jack",683004,TEX,SL,Slider,-0.5,-1,195,29.1,45,0.286,0.429,0.354,21.8,17.8,13.8,0.288,0.409,0.329,35.3
"Taylor, Troy",700187,SEA,FF,4-Seam Fastball,0.0,0,184,56.1,45,0.225,0.425,0.322,16.2,24.4,19.6,0.223,0.387,0.311,31.0
"Iglesias, Raisel",628452,ATL,SL,Slider,1.9,4,192,20.7,45,0.163,0.279,0.216,41.9,28.9,22.4,0.152,0.251,0.183,25.8
"Thielbar, Caleb",573204,MIN,CU,Curveball,0.7,1,220,24.8,45,0.079,0.158,0.223,36.4,33.3,19.0,0.141,0.229,0.235,4.2
"Gausman, Kevin",592332,TOR,SI,Sinker,-1.7,-3,181,6.3,45,0.275,0.5,0.376,13.8,8.9,11.1,0.287,0.498,0.366,35.1
"Cecconi, Slade",677944,AZ,CH,Changeup,-0.6,-1,157,12.2,45,0.227,0.432,0.278,26.9,20.0,16.7,0.203,0.261,0.206,19.4
"Fried, Max",608331,ATL,SL,Slider,0.8,1,162,5.9,45,0.205,0.273,0.22,33.3,33.3,21.4,0.196,0.371,0.253,34.5
"Garabito, Gerson",642520,TEX,CU,Curveball,1.6,3,167,33.9,45,0.171,0.171,0.207,29.7,24.4,18.6,0.214,0.303,0.252,19.4
"Baker, Bryan",641329,BAL,FF,4-Seam Fastball,-1.4,-3,180,48.8,45,0.286,0.571,0.382,30.2,33.3,23.8,0.229,0.388,0.292,55.6
