mlbam_id,name,team,bats,elig,owner,games,week_pts,avg_mult,base_rate,pa_g,woba_30,pa_30,rank
664761,Alec Bohm,Philadelphia Phillies,R,1B/3B,CS,6,23.4,1.036,0.938,4.01,0.34624999999999995,96.0,148
669127,Shea Langeliers,Athletics,R,C,CS,6,23.4,0.942,1.022,4.04,0.33,8.0,149
806146,George Lombard Jr.,New York Yankees,R,SS,THALER,6,23.4,1.071,0.939,3.89,0.24552941176470588,86.0,150
695731,Braden Montgomery,Chicago White Sox,S,OF,CJF,7,23.4,0.914,0.955,3.83,0.23623762376237623,101.0,151
680869,Zack Gelof,Athletics,R,3B/OF,LTTA,6,23.4,0.943,0.988,4.19,0.2801739130434783,116.0,152
521692,Salvador Perez,Kansas City Royals,R,C/1B,Dan,6,23.3,0.996,0.945,4.14,0.34240384615384617,107.0,153
800325,Luis Lara,Milwaukee Brewers,S,OF,FA,6,23.3,1.112,0.963,3.62,0.32121951219512196,82.0,154
701350,Roman Anthony,Boston Red Sox,L,OF,CJF,6,23.3,0.871,0.964,4.63,0.3291549295774647,71.0,155
804606,Konnor Griffin,Pittsburgh Pirates,R,SS,THALER,6,23.2,0.914,0.999,4.24,0.2004651162790698,43.0,156
682657,Angel Martínez,Cleveland Guardians,S,OF,GK,6,23.2,1.058,0.984,3.72,0.36392405063291133,79.0,157
514888,Jose Altuve,Houston Astros,R,2B,BAMBI,6,23.2,1.004,0.925,4.15,0.28660194174757286,103.0,158
683953,Travis Bazzana,Cleveland Guardians,L,2B,THALER,6,23.2,1.002,0.966,4.0,0.4153333333333333,90.0,159
677800,Wilyer Abreu,Boston Red Sox,L,OF,GLIZZY,6,23.1,0.871,1.005,4.41,0.3278947368421053,115.0,160
682998,Corbin Carroll,Arizona Diamondbacks,L,OF,Dan,6,23.1,0.9,1.017,4.2,0.2697087378640776,104.0,161
687462,Spencer Horwitz,Pittsburgh Pirates,L,1B,FA,6,23.0,1.023,0.927,4.04,0.2124705882352941,85.0,162
679529,Spencer Torkelson,Detroit Tigers,R,1B,Dan,7,23.0,1.014,0.933,3.47,0.32987951807228916,83.0,163
592663,J.T. Realmuto,Philadelphia Phillies,R,C,Dpf,6,22.9,1.044,0.961,3.8,0.32737499999999997,80.0,164
678882,Ceddanne Rafaela,Boston Red Sox,R,OF,GK,6,22.8,0.885,0.986,4.35,0.252,71.0,165
621566,Matt Olson,Atlanta Braves,L,1B,MMM,6,22.8,0.901,1.001,4.22,0.23913793103448275,117.0,166
621020,Dansby Swanson,Chicago Cubs,R,SS,Dan,6,22.7,1.0,0.985,3.85,,,167
596115,Trevor Story,Boston Red Sox,R,SS,CH,6,22.6,0.975,0.93,4.14,0.3448214285714286,57.0,168
691019,Kyle Teel,Chicago White Sox,L,C,FA,7,22.6,1.011,0.978,3.26,0.3973529411764706,34.0,169
665489,Vladimir Guerrero Jr.,Toronto Blue Jays,R,1B,CJF,6,22.6,0.92,0.948,4.32,0.30312500000000003,96.0,170
673357,Luis Robert Jr.,Baltimore Orioles,R,OF,Dpf,6,22.4,1.06,0.961,3.67,0.397906976744186,43.0,171
664023,Ian Happ,Chicago Cubs,S,OF,CJF,6,22.4,1.044,0.962,3.72,0.34261363636363634,89.0,172
687952,Christian Encarnacion-Strand,Baltimore Orioles,R,3B,FA,6,22.4,1.029,0.977,3.71,0.3500990099009901,101.0,173
683011,Anthony Volpe,New York Yankees,R,SS,FA,6,22.4,1.14,0.959,3.42,0.41,20.0,174
672580,Maikel Garcia,Kansas City Royals,R,3B,CS,6,22.3,0.954,0.954,4.09,0.37105263157894736,19.0,175
671732,Lawrence Butler,Athletics,L,OF,FA,6,22.3,0.962,0.959,4.03,0.3759130434782609,115.0,176
694671,Wyatt Langford,Texas Rangers,R,OF,BAMBI,6,22.2,0.857,0.99,4.36,0.31,114.0,177
686765,Nick Sogard,Boston Red Sox,S,2B,FA,6,22.2,0.912,0.946,4.29,0.38311926605504587,112.0,178
643289,Mauricio Dubón,Atlanta Braves,R,SS/OF,LTTA,6,22.1,0.982,0.947,3.95,0.3197169811320755,106.0,179
643446,Jeff McNeil,Athletics,L,1B/2B,FA,6,22.1,0.933,0.947,4.17,0.32545454545454544,110.0,180
669221,Sean Murphy,Atlanta Braves,R,C,FA,6,22.0,1.022,0.954,3.76,0.3424590163934426,61.0,181
695336,Thomas Saggese,St. Louis Cardinals,R,OF,MMM,6,22.0,1.071,0.973,3.52,0.42822580645161284,62.0,182
