gamePk,date,gameDate,status,venue_id,venue,dayNight,doubleHeader,team_id,team,home,opp_id,opp,sp_id,sp_name,sp_source,opp_sp_id,opp_sp_name,opp_sp_source
823334,2026-09-17,2026-09-17T16:35:00Z,Scheduled,31,PNC Park,day,N,134,Pittsburgh Pirates,True,158,Milwaukee Brewers,696062.0,Wilber Dotel,projected,669160.0,Dustin May,listed
823334,2026-09-17,2026-09-17T16:35:00Z,Scheduled,31,PNC Park,day,N,158,Milwaukee Brewers,False,134,Pittsburgh Pirates,669160.0,Dustin May,listed,696062.0,Wilber Dotel,projected
824464,2026-09-17,2026-09-17T16:40:00Z,Scheduled,2602,Great American Ball Park,day,N,113,Cincinnati Reds,True,119,Los Angeles Dodgers,663903.0,Brady Singer,listed,,,
824464,2026-09-17,2026-09-17T16:40:00Z,Scheduled,2602,Great American Ball Park,day,N,119,Los Angeles Dodgers,False,113,Cincinnati Reds,,,,663903.0,Brady Singer,listed
822924,2026-09-17,2026-09-17T17:10:00Z,Scheduled,12,Tropicana Field,day,N,139,Tampa Bay Rays,True,133,Athletics,656876.0,Drew Rasmussen,listed,605488.0,Jeffrey Springs,listed
822924,2026-09-17,2026-09-17T17:10:00Z,Scheduled,12,Tropicana Field,day,N,133,Athletics,False,139,Tampa Bay Rays,605488.0,Jeffrey Springs,listed,656876.0,Drew Rasmussen,listed
824305,2026-09-17,2026-09-17T19:10:00Z,Scheduled,19,Coors Field,day,N,115,Colorado Rockies,True,135,San Diego Padres,685299.0,Tanner Gordon,listed,650633.0,Michael King,listed
824305,2026-09-17,2026-09-17T19:10:00Z,Scheduled,19,Coors Field,day,N,135,San Diego Padres,False,115,Colorado Rockies,650633.0,Michael King,listed,685299.0,Tanner Gordon,listed
823573,2026-09-17,2026-09-17T23:15:00Z,Scheduled,3289,Citi Field,night,N,121,New York Mets,True,143,Philadelphia Phillies,690997.0,Nolan McLean,projected,605400.0,Aaron Nola,projected
823573,2026-09-17,2026-09-17T23:15:00Z,Scheduled,3289,Citi Field,night,N,143,Philadelphia Phillies,False,121,New York Mets,605400.0,Aaron Nola,projected,690997.0,Nolan McLean,projected
824141,2026-09-17,2026-09-17T23:15:00Z,Scheduled,2392,Daikin Park,night,N,117,Houston Astros,True,118,Kansas City Royals,699044.0,Miguel Ullola,projected,607625.0,Seth Lugo,listed
824141,2026-09-17,2026-09-17T23:15:00Z,Scheduled,2392,Daikin Park,night,N,118,Kansas City Royals,False,117,Houston Astros,607625.0,Seth Lugo,listed,699044.0,Miguel Ullola,projected
824548,2026-09-17,2026-09-17T23:40:00Z,Scheduled,4,Rate Field,night,N,145,Chicago White Sox,True,116,Detroit Tigers,641743.0,Anthony Kay,projected,664285.0,Framber Valdez,projected
824548,2026-09-17,2026-09-17T23:40:00Z,Scheduled,4,Rate Field,night,N,116,Detroit Tigers,False,145,Chicago White Sox,664285.0,Framber Valdez,projected,641743.0,Anthony Kay,projected
822845,2026-09-17,2026-09-18T00:05:00Z,Scheduled,5325,Globe Life Field,night,N,140,Texas Rangers,True,111,Boston Red Sox,674003.0,Cody Bradford,projected,543243.0,Sonny Gray,listed
822845,2026-09-17,2026-09-18T00:05:00Z,Scheduled,5325,Globe Life Field,night,N,111,Boston Red Sox,False,140,Texas Rangers,543243.0,Sonny Gray,listed,674003.0,Cody Bradford,projected
823978,2026-09-17,2026-09-18T01:38:00Z,Scheduled,1,Angel Stadium,night,N,108,Los Angeles Angels,True,142,Minnesota Twins,,,,671737.0,Taj Bradley,projected
823978,2026-09-17,2026-09-18T01:38:00Z,Scheduled,1,Angel Stadium,night,N,142,Minnesota Twins,False,108,Los Angeles Angels,671737.0,Taj Bradley,projected,,,
823331,2026-09-18,2026-09-18T22:40:00Z,Scheduled,31,PNC Park,night,N,134,Pittsburgh Pirates,True,118,Kansas City Royals,694973.0,Paul Skenes,projected,677976.0,Randy Dobnak,projected
823331,2026-09-18,2026-09-18T22:40:00Z,Scheduled,31,PNC Park,night,N,118,Kansas City Royals,False,134,Pittsburgh Pirates,677976.0,Randy Dobnak,projected,694973.0,Paul Skenes,projected
824463,2026-09-18,2026-09-18T22:40:00Z,Scheduled,2602,Great American Ball Park,night,N,113,Cincinnati Reds,True,112,Chicago Cubs,695505.0,Chase Burns,listed,605280.0,Clay Holmes,projected
824463,2026-09-18,2026-09-18T22:40:00Z,Scheduled,2602,Great American Ball Park,night,N,112,Chicago Cubs,False,113,Cincinnati Reds,605280.0,Clay Holmes,projected,695505.0,Chase Burns,listed
824790,2026-09-18,2026-09-18T23:05:00Z,Scheduled,2,Oriole Park at Camden Yards,night,N,110,Baltimore Orioles,True,158,Milwaukee Brewers,,,,675660.0,Shane Drohan,projected
824790,2026-09-18,2026-09-18T23:05:00Z,Scheduled,2,Oriole Park at Camden Yards,night,N,158,Milwaukee Brewers,False,110,Baltimore Orioles,675660.0,Shane Drohan,projected,,,
822923,2026-09-18,2026-09-18T23:10:00Z,Scheduled,12,Tropicana Field,night,N,139,Tampa Bay Rays,True,111,Boston Red Sox,693855.0,Ian Seymour,projected,624133.0,Ranger Suarez,projected
